VW Passat;306
Toyota Camry;183
BMW 5-й серии;156
Toyota Avensis;143
VW Golf;105
Lexus (все модели);100
Audi 80;96
Mercedes S-class;95
Audi 100;95
Mercedes E-class;86
Nissan Primera;85
Toyota Land Cruiser;77
Nissan Maxima;72
Mercedes C-class;66
Nissan Almera;66
Toyota RAV 4;61
Honda Accord;60
Audi A6;58
BMW 7-й серии;50
Mazda 6;47
BMW X5;47
Audi A4;45
BMW 3-й серии;43
Mitsubishi Lancer;43
Opel Astra;37
Mazda 3;36
Ford Focus;35
Infiniti;34
Mercedes ML;31
Toyota Land Cruiser Prado;27
